Grace,1007,Sports,Dance,Yoga
Harry,1008,Computer Science,Engineering,Robotics
Irene,1009,Sociology,Psychology,Philosophy
Jack,1010,Astronomy,Astrology,Piano
Kate,1011,Cooking,Baking,Piano
Leo,1012,Drawing,Painting,Sculpting
Mary,1013,Sewing,Piano,Crocheting
Nick,1014,Guitar,Piano,Crocheting
Olivia,1015,Balloon Art,Dancing,Rapping
Peter,1016,Martial Arts,Karate,Judo
Quinn,1017,Puzzles,Games,Crocheting
Ryan,1018,Camping,Sports,Fishing
Sara,1019,Meditation,Yoga,Yoga
Tom,1020,Camping,Sports,Computer Science
